,PDB ID,Length,Set,Sample weight,Sample weight none,Sample weight flat95,Sample weight flat70
29,3nhe_0-A,337,Fold 1,0.25,1.0,0.5,0.3333333333333333
30,3ptf_0-A,153,Fold 1,0.25,1.0,0.5,0.2
31,3ptf_0-B,152,Fold 1,0.25,1.0,0.5,0.2
32,1nbf_0-A,347,Fold 2,0.25,1.0,0.3333333333333333,0.3333333333333333
33,1nbf_0-B,347,Fold 2,0.25,1.0,0.3333333333333333,0.3333333333333333
34,1nbf_0-E,340,Fold 2,0.5,1.0,0.3333333333333333,0.3333333333333333
35,1p3q_0-R,34,Fold 2,1.0,1.0,1.0,1.0
36,2dx5_0-A,99,Fold 2,1.0,1.0,1.0,1.0
37,2hth_0-B,129,Fold 2,1.0,1.0,1.0,1.0
38,2xbb_0-A,376,Fold 2,0.25,1.0,0.5,0.25
39,2xbb_0-B,376,Fold 2,0.25,1.0,0.5,0.25
40,3jvz_0-C,377,Fold 2,0.25,1.0,0.5,0.25
41,3jvz_0-D,374,Fold 2,0.25,1.0,0.5,0.25
42,3mhs_0-C,93,Fold 2,1.0,1.0,1.0,1.0
43,3oj3_0-I,33,Fold 2,0.125,1.0,0.125,0.125
44,3oj3_0-L,31,Fold 2,0.125,1.0,0.125,0.125
45,3oj3_0-N,30,Fold 2,0.125,1.0,0.125,0.125
46,3olm_0-A,412,Fold 2,1.0,1.0,1.0,1.0
47,3vht_0-A,228,Fold 2,0.5,1.0,0.5,0.5
48,3vht_0-B,259,Fold 2,0.5,1.0,0.5,0.5
49,2d3g_0-P,18,Fold 3,1.0,1.0,1.0,1.0
50,3by4_0-A,172,Fold 3,0.5,1.0,0.3333333333333333,0.3333333333333333
51,3c0r_0-A,171,Fold 3,0.25,1.0,0.3333333333333333,0.3333333333333333
52,3c0r_0-C,171,Fold 3,0.25,1.0,0.3333333333333333,0.3333333333333333
53,3jsv_0-C,83,Fold 3,0.5,1.0,0.5,0.5
54,3jsv_0-D,86,Fold 3,0.5,1.0,0.5,0.5
55,3ldz_0-A,140,Fold 3,0.25,1.0,0.25,0.25
56,3ldz_0-D,140,Fold 3,0.25,1.0,0.25,0.25
57,3ldz_0-B,140,Fold 3,0.25,1.0,0.25,0.25
58,3ldz_0-C,140,Fold 3,0.25,1.0,0.25,0.25
59,3mhs_0-B,91,Fold 3,1.0,1.0,1.0,1.0
60,3o65_0-A,177,Fold 3,0.25,1.0,0.25,0.25
61,3o65_0-C,178,Fold 3,0.25,1.0,0.25,0.25
62,3o65_0-E,182,Fold 3,0.25,1.0,0.25,0.25
63,3o65_0-G,177,Fold 3,0.25,1.0,0.25,0.25
64,3oj3_0-O,32,Fold 3,0.125,1.0,0.125,0.125
65,3oj3_0-P,31,Fold 3,0.125,1.0,0.125,0.125
66,3phw_0-A,156,Fold 3,0.2,1.0,0.14285714285714285,0.14285714285714285
67,3phw_0-C,158,Fold 3,0.2,1.0,0.14285714285714285,0.14285714285714285
68,3phw_0-E,155,Fold 3,0.2,1.0,0.14285714285714285,0.14285714285714285
69,3phw_0-G,161,Fold 3,0.2,1.0,0.14285714285714285,0.14285714285714285
70,3prm_0-A,157,Fold 3,0.06666666666666667,1.0,0.14285714285714285,0.14285714285714285
71,3prm_0-C,157,Fold 3,0.06666666666666667,1.0,0.14285714285714285,0.14285714285714285
72,3pt2_0-A,159,Fold 3,0.06666666666666667,1.0,0.14285714285714285,0.14285714285714285
73,3tmp_0-A,165,Fold 3,0.25,1.0,0.3333333333333333,0.25
74,3tmp_0-C,167,Fold 3,0.125,1.0,0.3333333333333333,0.25
75,3tmp_0-E,168,Fold 3,0.125,1.0,0.3333333333333333,0.25
76,3tmp_0-G,153,Fold 3,0.5,1.0,1.0,0.25
77,1wr6_0-A,88,Fold 4,0.125,1.0,0.16666666666666666,0.16666666666666666
78,1wr6_0-B,88,Fold 4,0.125,1.0,0.16666666666666666,0.16666666666666666
79,1wr6_0-C,88,Fold 4,0.125,1.0,0.16666666666666666,0.16666666666666666
80,1wr6_0-D,86,Fold 4,0.125,1.0,0.16666666666666666,0.16666666666666666
81,1wrd_0-A,98,Fold 4,1.0,1.0,1.0,1.0
82,1yd8_0-G,93,Fold 4,0.25,1.0,0.16666666666666666,0.16666666666666666
83,1yd8_0-H,93,Fold 4,0.25,1.0,0.16666666666666666,0.16666666666666666
84,2wdt_0-A,204,Fold 4,0.5,1.0,0.5,0.5
85,2wdt_0-C,206,Fold 4,0.5,1.0,0.5,0.5
86,3cmm_0-A,1002,Fold 4,0.5,1.0,0.5,0.5
87,3cmm_0-C,1007,Fold 4,0.5,1.0,0.5,0.5
88,3oj3_0-J,30,Fold 4,0.125,1.0,0.125,0.125
89,3oj3_0-K,31,Fold 4,0.125,1.0,0.125,0.125
90,3tbl_0-A,250,Fold 4,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
91,3tbl_0-B,251,Fold 4,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
92,3tbl_0-C,252,Fold 4,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
93,1xd3_0-A,229,Fold 5,0.5,1.0,0.5,0.5
94,1xd3_0-C,227,Fold 5,0.5,1.0,0.5,0.5
95,2c7m_0-A,58,Fold 5,0.25,1.0,0.25,0.25
96,2fif_0-B,59,Fold 5,0.25,1.0,0.25,0.25
97,2fif_0-D,58,Fold 5,0.25,1.0,0.25,0.25
98,2fif_0-F,56,Fold 5,0.25,1.0,0.25,0.25
99,2j7q_0-A,226,Fold 5,0.5,1.0,0.5,0.5
100,2j7q_0-C,226,Fold 5,0.5,1.0,0.5,0.5
101,2wwz_0-C,32,Fold 5,0.5,1.0,1.0,0.5
102,3a9k_0-C,29,Fold 5,0.5,1.0,1.0,0.5
103,3ifw_0-A,223,Fold 5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
104,3kvf_0-A,223,Fold 5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
105,3kw5_0-A,223,Fold 5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
106,3mhs_0-E,86,Fold 5,1.0,1.0,1.0,1.0
107,3ofi_0-A,954,Fold 5,0.5,1.0,0.5,0.5
108,3ofi_0-B,954,Fold 5,0.5,1.0,0.5,0.5
109,3oj3_0-M,31,Fold 5,0.125,1.0,0.125,0.125
